   1.0660373186452052e+01  -7.6051503198645868e-03   1.3629417436033736e-04  -3.2416328842125101e-07  -2.6556277124944638e-07  -1.2945525209811802e-04
   1.0660130919700642e+01   3.9254499733975760e-02   1.3602053439224911e-04   8.6684629857981058e-06   8.3940936201675329e-06  -1.2918976429656840e-04
   1.0659125813571054e+01   8.6104263803157763e-02   1.3516896256093999e-04   1.7625048347699808e-05   1.7018097958584846e-05  -1.2835847436026948e-04
   1.0657358612151357e+01   1.3293177424581509e-01   1.3374324777687185e-04   2.6507941042207604e-05   2.5569602261711465e-05  -1.2696496761924265e-04
   1.0654830869720220e+01   1.7972464111960071e-01   1.3174974875251752e-04   3.5279706637373987e-05   3.4012106173825624e-05  -1.2501531948908655e-04
   1.0651545016235614e+01   2.2647053832851488e-01   1.2919721146987943e-04   4.3903309529423241e-05   4.2309629048413427e-05  -1.2251808945629476e-04
   1.0647504315032450e+01   2.7315729291793439e-01   1.2609675739489948e-04   5.2342636279513305e-05   5.0426887610324929e-05  -1.1948427037997958e-04
   1.0642712744719352e+01   3.1977291693415139e-01   1.2246191410658804e-04   6.0562775225366160e-05   5.8329483624005579e-05  -1.1592721523184889e-04
   1.0637174902293768e+01   3.6630557959661109e-01   1.1830861938010822e-04   6.8530071072755465e-05   6.5984095105547133e-05  -1.1186255940815097e-04
   1.0630895999491997e+01   4.1274358588395416e-01   1.1365509197574250e-04   7.6212010024891055e-05   7.3358649221821131e-05  -1.0730815151558724e-04
   1.0623881931518563e+01   4.5907544009743506e-01   1.0852155165673311e-04   8.3577147234700617e-05   8.0422456394702734e-05  -1.0228397692008404e-04
   1.0616139321747085e+01   5.0529001006319363e-01   1.0292989634998758e-04   9.0595229448494759e-05   8.7146306995533116e-05  -9.6812045552758025e-05
   1.0607675459194583e+01   5.5137671712510239e-01   9.6903511376603095e-05   9.7237510283500341e-05   9.3502560494667335e-05  -9.0916228359662677e-05
   1.0598498139505578e+01   5.9732563537334138e-01   9.0467320372717030e-05   1.0347711716705024e-04   9.9465265687391410e-05  -8.4622056447382322e-05
   1.0588615512334197e+01   6.4312743037864795e-01   8.3648013504853495e-05   1.0928931142165965e-04   1.0501032451279019e-04  -7.7956518398482910e-05
   1.0578036043908426e+01   6.8877317084173839e-01   7.6474228005853699e-05   1.1465157715048287e-04   1.1011566417757321e-04  -7.0947887124193153e-05
   1.0566768612804740e+01   7.3425412772127630e-01   6.8976443306898052e-05   1.1954358830070923e-04   1.1476135116287022e-04  -6.3625584095788150e-05
   1.0554822644689558e+01   7.7956167499883644e-01   6.1186522425697802e-05   1.2394714671296926e-04   1.1892959981255002e-04  -5.6020067660164596e-05
   1.0542208154249591e+01   8.2468733125780913e-01   5.3137073329640831e-05   1.2784614210446655e-04   1.2260469204735381e-04  -4.8162728848705541e-05
   1.0528935633015690e+01   8.6962289555321060e-01   4.4860938476708422e-05   1.3122651754423085e-04   1.2577288857505009e-04  -4.0085790185331169e-05
   1.0515015841102468e+01   9.1436059837137174e-01   3.6391038837948710e-05   1.3407620241177583e-04   1.2842242092164826e-04  -3.1822211800367360e-05
   1.0500459628857708e+01   9.5889321933769411e-01   2.7760555129638637e-05   1.3638501901461463e-04   1.3054359378648314e-04  -2.3405601037762749e-05
   1.0485277877058019e+01   1.0032141721204746e+00   1.9003205455727136e-05   1.3814463467982493e-04   1.3212894042921312e-04  -1.4870100569360013e-05
   1.0469481539724947e+01   1.0473175696663024e+00   1.0153340464525099e-05   1.3934865147664503e-04   1.3317332862337899e-04  -6.2502160453246308e-06
   1.0453081696403016e+01   1.0911982500978761e+00   1.2457418757512280e-06   1.3999286684561135e-04   1.3367394809924311e-04   2.4194424528643632e-06
   1.0436089536643925e+01   1.1348517094830517e+00  -7.6847635472099487e-06   1.4007562613963393e-04   1.3363019477254912e-04   1.1104487322436079e-05
   1.0418516287245872e+01   1.1782739060658447e+00  -1.6603654181388246e-05   1.3959809169906081e-04   1.3304353222138465e-04   1.9771076982344477e-05
   1.0400373164953521e+01   1.2214609785822437e+00  -2.5476885863596764e-05   1.3856424219484636e-04   1.3191740402070630e-04   2.8386134267661993e-05
   1.0381671421112147e+01   1.2644090039677680e+00  -3.4270919285725290e-05   1.3698051719235709e-04   1.3025720437396715e-04   3.6917380470366346e-05
   1.0362422450657363e+01   1.3071139328108794e+00  -4.2952745808393333e-05   1.3485519693713969e-04   1.2807025389535010e-04   4.5333183899592319e-05
   1.0342637852587870e+01   1.3495717564353942e+00  -5.1490012772534539e-05   1.3219776531718110e-04   1.2536572944299226e-04   5.3602322282216159e-05
   1.0322329338354196e+01   1.3917788264874864e+00  -5.9851211636224191e-05   1.2901854693023415e-04   1.2215455764608870e-04   6.1693823626838437e-05
   1.0301508493402519e+01   1.4337321581801856e+00  -6.8005800386993957e-05   1.2532879269987608e-04   1.1844933759111349e-04   6.9577030625776385e-05
   1.0280186520145465e+01   1.4754295646395421e+00  -7.5924178409804264e-05   1.2114116066095147e-04   1.1426434650016380e-04   7.7221924578195687e-05
   1.0258374123311006e+01   1.5168695761947790e+00  -8.3577577219519337e-05   1.1647032516247145e-04   1.0961560326450169e-04   8.4599601295850399e-05
   1.0236081607794494e+01   1.5580512151162709e+00  -9.0938037985109581e-05   1.1133337996046953e-04   1.0452088652375323e-04   9.1682701589105938e-05
   1.0213319113844936e+01   1.5989737452684794e+00  -9.7978607816179823e-05   1.0574982486350284e-04   9.8999604927524324e-05   9.8445624778058916e-05
   1.0190096828746000e+01   1.6396364816665685e+00  -1.0467371908959412e-04   9.9741162004061810e-05   9.3072513834218249e-05   1.0486448158977949e-04
   1.0166425051282678e+01   1.6800386777812630e+00  -1.1099955157428818e-04   9.3330321496893211e-05   8.6761396495526371e-05   1.1091688517877637e-04
   1.0142314105980532e+01   1.7201794736274716e+00  -1.1693415291007284e-04   8.6541168914396126e-05   8.0088879206989679e-05   1.1658173949504331e-04
   1.0117774203962540e+01   1.7600579044930103e+00  -1.2245723784936046e-04   7.9398224851484709e-05   7.3078478061632484e-05   1.2183913235557790e-04
   1.0092815348896371e+01   1.7996729988363662e+00  -1.2754979942973849e-04   7.1926567682765503e-05   6.5754822518818620e-05   1.2667033627305365e-04
   1.0067447304826484e+01   1.8390239795692569e+00  -1.3219379479736978e-04   6.4151820970282034e-05   5.8143873416071071e-05   1.3105785959692558e-04
   1.0041679566183245e+01   1.8781105151020858e+00  -1.3637212653659232e-04   5.6100176155471884e-05   5.0272940153546223e-05   1.3498551864852079e-04
   1.0015521276449086e+01   1.9169328969637063e+00  -1.4006896017148713e-04   4.7798483498973286e-05   4.2170414471987145e-05   1.3843857029688015e-04
   9.9889811243135398e+00   1.9554920208994402e+00  -1.4327022055715222e-04   3.9274447533899625e-05   3.3865303704353755e-05   1.4140395782002039e-04
   9.9620673193847811e+00   1.9937891421075402e+00  -1.4596401474144944e-04   3.0556861498020725e-05   2.5386762302852088e-05   1.4387063573027606e-04
   9.9347877293375291e+00   2.0318255089264987e+00  -1.4814078166568785e-04   2.1675702492739362e-05   1.6763820691212392e-05   1.4582981450347068e-04
   9.9071501456062467e+00   2.0696020580713403e+00  -1.4979312391413349e-04   1.2661916396419609e-05   8.0254016538949600e-06   1.4727493210529456e-04
   9.8791625260947509e+00   2.1071193182354273e+00  -1.5091543689052067e-04   3.5468886804448065e-06  -7.9943612461460677e-07   1.4820128984367802e-04
   9.8508330475985737e+00   2.1443775422546758e+00  -1.5150353089374646e-04  -5.6381821233775032e-06  -9.6811958939141433e-06   1.4860551924516250e-04
